"evseid","operatorname","num_occupied","num_tot","lat","lng","occupied_ratio"
"CH*SWIEE4464","Swisscharge","3101","18898","47.0633240103983","7.23326300713764","0.16409143824743359086"
"CH*CCC*E00504","Move","2528","16603","46.8228200103217","7.14977200710378","0.15226163946274769620"
"CH*CCC*E00504","Move","2528","16603","46.8228200103217","7.14977200710378","0.15226163946274769620"
"CH*SWIEE29489","Swisscharge","1901","13284","47.3667010100904","8.78192300862599","0.14310448660042155977"
"CH*SWIEE29489","Swisscharge","1901","13284","47.3667010100904","8.78192300862599","0.14310448660042155977"
"CH*SWIEE29489","Swisscharge","1901","13284","47.3667010100904","8.78192300862599","0.14310448660042155977"
"CH*SWIEE1006","Swisscharge","2673","18897","47.4161000099631","9.2478790090446","0.14145102397205905699"
"CH*SWIEE1006","Swisscharge","2673","18897","47.4161000099631","9.2478790090446","0.14145102397205905699"
"CH*SWIEE1006","Swisscharge","2673","18897","47.4161000099631","9.2478790090446","0.14145102397205905699"
"CH*REPE120*01*1","PLUG’N ROLL","2654","18775","47.3778720101781","8.49452700834546","0.14135818908122503329"
"CH*REPE120*01*1","PLUG’N ROLL","2654","18775","47.3778720101781","8.49452700834546","0.14135818908122503329"
"CH*REPE120*01*1","PLUG’N ROLL","2654","18775","47.3778720101781","8.49452700834546","0.14135818908122503329"
"CH*CCI*E20194","Move","2603","18420","46.9434070103124","7.39630900734141","0.14131378935939196526"
"CH*CCI*E20194","Move","2603","18420","46.9434070103124","7.39630900734141","0.14131378935939196526"
"CH*CCI*E20194","Move","2603","18420","46.9434070103124","7.39630900734141","0.14131378935939196526"
"CH*SWIEE3575","Swisscharge","2614","18739","47.3909030101782","8.50879500835535","0.13949517050002668232"
"CH*SWIEE3575","Swisscharge","2614","18739","47.3909030101782","8.50879500835535","0.13949517050002668232"
"CH*SWIEE3575","Swisscharge","2614","18739","47.3909030101782","8.50879500835535","0.13949517050002668232"
"CH*SWIEE22900","Swisscharge","2622","18891","47.4224770103912","7.77017900760801","0.13879625218357948229"
"CH*SWIEE22900","Swisscharge","2622","18891","47.4224770103912","7.77017900760801","0.13879625218357948229"
"CH*SWIEE22900","Swisscharge","2622","18891","47.4224770103912","7.77017900760801","0.13879625218357948229"
"CH*SWIEE2643","Swisscharge","2591","18694","47.4817560102854","8.23165700805565","0.13860062051995292607"
"CH*SWIEE2643","Swisscharge","2591","18694","47.4817560102854","8.23165700805565","0.13860062051995292607"
"CH*SWIEE2643","Swisscharge","2591","18694","47.4817560102854","8.23165700805565","0.13860062051995292607"
"CH*IBA*EAC026","Eniwa","2399","17340","47.3962220103061","8.05784700790753","0.13835063437139561707"
"CH*IBA*EAC026","Eniwa","2399","17340","47.3962220103061","8.05784700790753","0.13835063437139561707"
"CH*IBA*EAC026","Eniwa","2399","17340","47.3962220103061","8.05784700790753","0.13835063437139561707"
"CH*CCI*E20085","Move","2503","18201","46.7946000103137","7.13282300709172","0.13751991648810504917"
"CH*SWIEE4210","Swisscharge","2573","18890","47.1271710102296","7.99767400792251","0.13620963472736897830"
"CH*SWIEE4210","Swisscharge","2573","18890","47.1271710102296","7.99767400792251","0.13620963472736897830"
"CH*SWIEE5219","Swisscharge","2347","17398","47.5661560104872","7.57318400736558","0.13490056328313599264"
"CH*SWIEE5219","Swisscharge","2347","17398","47.5661560104872","7.57318400736558","0.13490056328313599264"
"CH*SWIEE5219","Swisscharge","2347","17398","47.5661560104872","7.57318400736558","0.13490056328313599264"
"CH*SWIEE4534","Swisscharge","2456","18899","47.415970009963","9.24793500904469","0.12995396581829726441"
"CH*SWIEE4534","Swisscharge","2456","18899","47.415970009963","9.24793500904469","0.12995396581829726441"
"CH*SWIEE4534","Swisscharge","2456","18899","47.415970009963","9.24793500904469","0.12995396581829726441"
"CH*SWIEE4243","Swisscharge","2333","18043","47.5523950104797","7.58587900738247","0.12930222246854735909"
"CH*SWIEE4243","Swisscharge","2333","18043","47.5523950104797","7.58587900738247","0.12930222246854735909"
"CH*SWIEE4243","Swisscharge","2333","18043","47.5523950104797","7.58587900738247","0.12930222246854735909"
"CH*SWIEE5193","Swisscharge","2342","18187","47.5352400104741","7.58746200738885","0.12877329960961126079"
"CH*SWIEE5193","Swisscharge","2342","18187","47.5352400104741","7.58746200738885","0.12877329960961126079"
"CH*SWIEE5193","Swisscharge","2342","18187","47.5352400104741","7.58746200738885","0.12877329960961126079"
"CH*CCI*EBB*2770*4","Move","2363","18429","46.0870360099979","7.05447700715476","0.12822182429865972109"
"CH*CCI*EBB*2770*4","Move","2363","18429","46.0870360099979","7.05447700715476","0.12822182429865972109"
"CH*CCI*EBB*2770*4","Move","2363","18429","46.0870360099979","7.05447700715476","0.12822182429865972109"
"CH*CCI*EBA*6895*2","Move","2314","18067","46.6209820102315","7.16275800716332","0.12807881773399014778"
"CH*CCI*EBA*6895*2","Move","2314","18067","46.6209820102315","7.16275800716332","0.12807881773399014778"
"CH*CCI*EBA*6895*2","Move","2314","18067","46.6209820102315","7.16275800716332","0.12807881773399014778"
"CH*REPE112*01*2","PLUG’N ROLL","2282","18790","46.6058390096118","9.42692200947153","0.12144757849920170303"
