"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*EBB*2836*9","Move","010100002008080000DD930CBBDD9B4341F15CB671CE363241","1193678.44418889","2570171.46132134","279","18420","22",7,3,"0.01514657980456026059"
"CH*E4U*E00340","Ost-mobil","010100002008080000F68F5C6FA012454157F07650EAF43141","1176810.31431486","2762048.87001228","0","2871","22.08",9,13,"0.00000000000000000000"
"CH*E4U*E00340","Ost-mobil","010100002008080000F68F5C6FA012454157F07650EAF43141","1176810.31431486","2762048.87001228","0","2871","22.08",9,14,"0.00000000000000000000"
"CH*E4U*E00340","Ost-mobil","010100002008080000F68F5C6FA012454157F07650EAF43141","1176810.31431486","2762048.87001228","0","2871","22.08",9,13,"0.00000000000000000000"
"CH*CCI*EBB*2761*2","Move","0101000020080800004FE4D55552BA43416AC274A3639B3241","1219427.63850036","2585764.67058996","773","18429","22",5,33,"0.04194476097455097943"
"CH*CCI*EBB*2761*2","Move","0101000020080800004FE4D55552BA43416AC274A3639B3241","1219427.63850036","2585764.67058996","773","18429","22",5,30,"0.04194476097455097943"
"CH*CCI*EBB*2761*2","Move","0101000020080800004FE4D55552BA43416AC274A3639B3241","1219427.63850036","2585764.67058996","773","18429","22",5,32,"0.04194476097455097943"
"CH*REPE075*01*2","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","42","18790","22",7,61,"0.00223523150612027674"
"CH*REPE075*01*2","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","42","18790","22",7,54,"0.00223523150612027674"
"CH*REPE075*01*2","PLUG’N ROLL","0101000020080800004E71C83D98A544419EAA35A03B263341","1254971.62581889","2706224.48267952","42","18790","22",7,60,"0.00223523150612027674"
"CH*CCI*EBB*2837*5","Move","01010000200808000021D20296F8E344412133EBD873573341","1267571.84733886","2738161.17196108","157","18429","22",4,4,"0.00851918172445602040"
"CH*CCI*EBB*2837*5","Move","01010000200808000021D20296F8E344412133EBD873573341","1267571.84733886","2738161.17196108","157","18429","22",4,5,"0.00851918172445602040"
