"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*SWIEE24647","Swisscharge","010100002008080000D637B509D07944418AD36BB8A6183341","1251494.7203953","2683808.07584284","43",1,95,"0.02026562251971003757"
"CH*SWIEE24647","Swisscharge","010100002008080000D637B509D07944418AD36BB8A6183341","1251494.7203953","2683808.07584284","43",1,88,"0.02026562251971003757"
"CH*SWIEE15149","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","22",2,111,"0.06211968887242711255"
"CH*SWIEE15149","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","22",2,119,"0.06211968887242711255"
"CH*SWIEE15149","Swisscharge","01010000200808000057B8B1F0B5FE43419437926FFE393341","1260030.43582485","2620779.88042359","22",2,109,"0.06211968887242711255"
"CH*E4U*E00099","Ost-mobil","0101000020080800000E884481801945418BFB6E2F36323341","1258038.18528721","2765569.00990391","50",5,24,"0.00000000000000000000"
"CH*E4U*E00099","Ost-mobil","0101000020080800000E884481801945418BFB6E2F36323341","1258038.18528721","2765569.00990391","50",5,22,"0.00000000000000000000"
"CH*E4U*E00099","Ost-mobil","0101000020080800000E884481801945418BFB6E2F36323341","1258038.18528721","2765569.00990391","50",5,22,"0.00000000000000000000"
"CH*SWIEE7908","Swisscharge","0101000020080800002BC50BA0607144414F98A91E71103341","1249393.11977531","2679489.2503592","50",1,162,"0.00211651410127519975"
"CH*SWIEE7908","Swisscharge","0101000020080800002BC50BA0607144414F98A91E71103341","1249393.11977531","2679489.2503592","50",1,49,"0.00211651410127519975"
"CH*SWIEE7908","Swisscharge","0101000020080800002BC50BA0607144414F98A91E71103341","1249393.11977531","2679489.2503592","50",1,48,"0.00211651410127519975"
"CH*IBA*EAC012","Eniwa","01010000200808000098B682A9152A4441EEAE674491113341","1249681.26720708","2642987.32430155","22.2",5,17,"0.00089951849304195989"
"CH*IBA*EAC012","Eniwa","01010000200808000098B682A9152A4441EEAE674491113341","1249681.26720708","2642987.32430155","22.2",5,18,"0.00089951849304195989"
"CH*IBA*EAC012","Eniwa","01010000200808000098B682A9152A4441EEAE674491113341","1249681.26720708","2642987.32430155","22.2",5,18,"0.00089951849304195989"
"CH*E4U*E00352","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","22",5,4,"0.00000000000000000000"
"CH*E4U*E00352","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","22",5,4,"0.00000000000000000000"
"CH*E4U*E00352","Ost-mobil","010100002008080000A44E87CA8ACE44412066767746873341","1279814.46665037","2727189.58225425","22",5,4,"0.00000000000000000000"
"CH*REPE098*01*2","PLUG’N ROLL","010100002008080000DFCBE5CDE942454193F57EF2E9A53141","1156585.94724974","2786771.60857533","22.08",5,26,"0.02746177046404571670"
"CH*REPE098*01*2","PLUG’N ROLL","010100002008080000DFCBE5CDE942454193F57EF2E9A53141","1156585.94724974","2786771.60857533","22.08",5,26,"0.02746177046404571670"
"CH*REPE098*01*2","PLUG’N ROLL","010100002008080000DFCBE5CDE942454193F57EF2E9A53141","1156585.94724974","2786771.60857533","22.08",5,27,"0.02746177046404571670"
"CH*SWIEE8483","Swisscharge","01010000200808000036B07AFA9292444101E78487BBFF3241","1245115.52937168","2696485.95686915","22",2,3,"0.00015873855759563998"
"CH*SWIEE8483","Swisscharge","01010000200808000036B07AFA9292444101E78487BBFF3241","1245115.52937168","2696485.95686915","22",2,23,"0.00015873855759563998"
"CH*SWIEE8483","Swisscharge","01010000200808000036B07AFA9292444101E78487BBFF3241","1245115.52937168","2696485.95686915","22",2,10,"0.00015873855759563998"
"CH*CCC*E50080","Move","01010000200808000006C95EDCBEE743414E9F8DD0133D3341","1260819.81466098","2609021.72164262","50",3,19,"0.00897318789962925152"
"CH*CCC*E50080","Move","01010000200808000006C95EDCBEE743414E9F8DD0133D3341","1260819.81466098","2609021.72164262","50",3,13,"0.00897318789962925152"
"CH*CCC*E50080","Move","01010000200808000006C95EDCBEE743414E9F8DD0133D3341","1260819.81466098","2609021.72164262","50",3,22,"0.00897318789962925152"
"CH*REPE096*01*2","PLUG’N ROLL","010100002008080000DEDB9A821B394541891C14A66C143241","1184876.64874438","2781751.02035092","22.08",4,16,"0.04312397481348219483"
